season,match_date,home_team,away_team,competition,venue,home_score,away_score
1999-2000,Saturday 5 February 2000,Leicester,Middlesbrough,Premier League,"Filbert Street, Leicester",2,1
1999-2000,Saturday 5 February 2000,Liverpool,Leeds,Premier League,"Anfield, Liverpool",3,1
1999-2000,Saturday 5 February 2000,Man Utd,Coventry,Premier League,"Old Trafford, Manchester",3,2
1999-2000,Saturday 5 February 2000,Southampton,West Ham,Premier League,"The Dell, Southampton",2,1
1999-2000,Saturday 5 February 2000,Sunderland,Newcastle,Premier League,"Stadium of Light, Sunderland",2,2
1999-2000,Saturday 5 February 2000,Spurs,Chelsea,Premier League,"White Hart Lane, London",0,1
1999-2000,Wednesday 2 February 2000,Sheffield Wed,Man Utd,Premier League,"Hillsborough, Sheffield",0,1
1999-2000,Saturday 29 January 2000,Man Utd,Middlesbrough,Premier League,"Old Trafford, Manchester",1,0
1999-2000,Monday 24 January 2000,Man Utd,Arsenal,Premier League,"Old Trafford, Manchester",1,1
1999-2000,Sunday 23 January 2000,Sunderland,Leeds,Premier League,"Stadium of Light, Sunderland",1,2
1999-2000,Saturday 22 January 2000,Aston Villa,Chelsea,Premier League,"Villa Park, Birmingham",0,0
1999-2000,Saturday 22 January 2000,Bradford,Watford,Premier League,"Valley Parade, Bradford",3,2
1999-2000,Saturday 22 January 2000,Derby,Coventry,Premier League,"Pride Park, Derby",0,0
1999-2000,Saturday 22 January 2000,Leicester,West Ham,Premier League,"Filbert Street, Leicester",1,3
1999-2000,Saturday 22 January 2000,Liverpool,Middlesbrough,Premier League,"Anfield, Liverpool",0,0
1999-2000,Saturday 22 January 2000,Southampton,Everton,Premier League,"The Dell, Southampton",2,0
1999-2000,Saturday 22 January 2000,Spurs,Sheffield Wed,Premier League,"White Hart Lane, London",0,1
1999-2000,Saturday 22 January 2000,Wimbledon,Newcastle,Premier League,"Selhurst Park, London",2,0
1999-2000,Sunday 16 January 2000,Newcastle,Southampton,Premier League,"St. James' Park, Newcastle",5,0
1999-2000,Saturday 15 January 2000,Arsenal,Sunderland,Premier League,"Highbury, London",4,1
1999-2000,Saturday 15 January 2000,Chelsea,Leicester,Premier League,"Stamford Bridge, London",1,1
1999-2000,Saturday 15 January 2000,Coventry,Wimbledon,Premier League,"Highfield Road, Coventry",2,0
1999-2000,Saturday 15 January 2000,Everton,Spurs,Premier League,"Goodison Park, Liverpool",2,2
1999-2000,Saturday 15 January 2000,Middlesbrough,Derby,Premier League,"Riverside Stadium, Middlesbrough",1,4
1999-2000,Saturday 15 January 2000,Sheffield Wed,Bradford,Premier League,"Hillsborough, Sheffield",2,0
1999-2000,Saturday 15 January 2000,Watford,Liverpool,Premier League,"Vicarage Road, Watford",2,3
1999-2000,Saturday 15 January 2000,West Ham,Aston Villa,Premier League,"Boleyn Ground, London",1,1
1999-2000,Wednesday 12 January 2000,Chelsea,Spurs,Premier League,"Stamford Bridge, London",1,0
1999-2000,Saturday 8 January 2000,Bradford,Chelsea,Premier League,"Valley Parade, Bradford",1,1
1999-2000,Tuesday 4 January 2000,Coventry,Chelsea,Premier League,"Highfield Road, Coventry",2,2
1999-2000,Monday 3 January 2000,Derby,Watford,Premier League,"Pride Park, Derby",2,0
1999-2000,Monday 3 January 2000,Leeds,Aston Villa,Premier League,"Elland Road, Leeds",1,2
1999-2000,Monday 3 January 2000,Everton,Leicester,Premier League,"Goodison Park, Liverpool",2,2
1999-2000,Monday 3 January 2000,Newcastle,West Ham,Premier League,"St. James' Park, Newcastle",2,2
1999-2000,Monday 3 January 2000,Sheffield Wed,Arsenal,Premier League,"Hillsborough, Sheffield",1,1
1999-2000,Monday 3 January 2000,Southampton,Bradford,Premier League,"The Dell, Southampton",1,0
1999-2000,Monday 3 January 2000,Spurs,Liverpool,Premier League,"White Hart Lane, London",1,0
1999-2000,Monday 3 January 2000,Wimbledon,Sunderland,Premier League,"Selhurst Park, London",1,0
1999-2000,Wednesday 29 December 1999,Aston Villa,Spurs,Premier League,"Villa Park, Birmingham",1,1
1999-2000,Wednesday 29 December 1999,Chelsea,Sheffield Wed,Premier League,"Stamford Bridge, London",3,0
1999-2000,Tuesday 28 December 1999,Arsenal,Leeds,Premier League,"Highbury, London",2,0
1999-2000,Tuesday 28 December 1999,Bradford,Everton,Premier League,"Valley Parade, Bradford",0,0
1999-2000,Tuesday 28 December 1999,Leicester,Newcastle,Premier League,"Filbert Street, Leicester",1,2
1999-2000,Tuesday 28 December 1999,Liverpool,Wimbledon,Premier League,"Anfield, Liverpool",3,1
1999-2000,Tuesday 28 December 1999,Watford,Southampton,Premier League,"Vicarage Road, Watford",3,2
1999-2000,Tuesday 28 December 1999,West Ham,Derby,Premier League,"Boleyn Ground, London",1,1
1999-2000,Tuesday 28 December 1999,Sunderland,Man Utd,Premier League,"Stadium of Light, Sunderland",2,2
1999-2000,Sunday 26 December 1999,Derby,Aston Villa,Premier League,"Pride Park, Derby",0,2
1999-2000,Sunday 26 December 1999,Everton,Sunderland,Premier League,"Goodison Park, Liverpool",5,0
1999-2000,Sunday 26 December 1999,Leeds,Leicester,Premier League,"Elland Road, Leeds",2,1
1999-2000,Sunday 26 December 1999,Man Utd,Bradford,Premier League,"Old Trafford, Manchester",4,0
1999-2000,Sunday 26 December 1999,Newcastle,Liverpool,Premier League,"St. James' Park, Newcastle",2,2
1999-2000,Sunday 26 December 1999,Coventry,Arsenal,Premier League,"Highfield Road, Coventry",3,2
1999-2000,Sunday 26 December 1999,Southampton,Chelsea,Premier League,"The Dell, Southampton",1,2
1999-2000,Sunday 26 December 1999,Spurs,Watford,Premier League,"White Hart Lane, London",4,0
1999-2000,Sunday 26 December 1999,Wimbledon,West Ham,Premier League,"Selhurst Park, London",2,2
1999-2000,Sunday 26 December 1999,Sheffield Wed,Middlesbrough,Premier League,"Hillsborough, Sheffield",1,0
1999-2000,Sunday 19 December 1999,Chelsea,Leeds,Premier League,"Stamford Bridge, London",0,2
1999-2000,Saturday 18 December 1999,Arsenal,Wimbledon,Premier League,"Highbury, London",1,1
1999-2000,Saturday 18 December 1999,Aston Villa,Sheffield Wed,Premier League,"Villa Park, Birmingham",2,1
1999-2000,Saturday 18 December 1999,Bradford,Newcastle,Premier League,"Valley Parade, Bradford",2,0
1999-2000,Saturday 18 December 1999,Leicester,Derby,Premier League,"Filbert Street, Leicester",0,1
1999-2000,Saturday 18 December 1999,Liverpool,Coventry,Premier League,"Anfield, Liverpool",2,0
1999-2000,Saturday 18 December 1999,Middlesbrough,Spurs,Premier League,"Riverside Stadium, Middlesbrough",2,1
1999-2000,Saturday 18 December 1999,Sunderland,Southampton,Premier League,"Stadium of Light, Sunderland",2,0
1999-2000,Saturday 18 December 1999,Watford,Everton,Premier League,"Vicarage Road, Watford",1,3
1999-2000,Saturday 18 December 1999,West Ham,Man Utd,Premier League,"Boleyn Ground, London",2,4
1999-2000,Monday 6 December 1999,Spurs,West Ham,Premier League,"White Hart Lane, London",0,0
1999-2000,Sunday 5 December 1999,Derby,Leeds,Premier League,"Pride Park, Derby",0,1
1999-2000,Sunday 5 December 1999,Liverpool,Sheffield Wed,Premier League,"Anfield, Liverpool",4,1
1999-2000,Saturday 4 December 1999,Aston Villa,Newcastle,Premier League,"Villa Park, Birmingham",0,1
1999-2000,Saturday 4 December 1999,Bradford,Middlesbrough,Premier League,"Valley Parade, Bradford",1,1
1999-2000,Saturday 4 December 1999,Man Utd,Everton,Premier League,"Old Trafford, Manchester",5,1
1999-2000,Saturday 4 December 1999,Leicester,Arsenal,Premier League,"Filbert Street, Leicester",0,3
1999-2000,Saturday 4 December 1999,Southampton,Coventry,Premier League,"The Dell, Southampton",0,0
1999-2000,Saturday 4 December 1999,Sunderland,Chelsea,Premier League,"Stadium of Light, Sunderland",4,1
1999-2000,Saturday 4 December 1999,Wimbledon,Watford,Premier League,"Selhurst Park, London",5,0
1999-2000,Sunday 28 November 1999,Leeds,Southampton,Premier League,"Elland Road, Leeds",1,0
1999-2000,Sunday 28 November 1999,Newcastle,Spurs,Premier League,"St. James' Park, Newcastle",2,1
1999-2000,Sunday 28 November 1999,Arsenal,Derby,Premier League,"Highbury, London",2,1
1999-2000,Sunday 28 November 1999,Chelsea,Bradford,Premier League,"Stamford Bridge, London",1,0
1999-2000,Saturday 27 November 1999,Coventry,Leicester,Premier League,"Highfield Road, Coventry",0,1
1999-2000,Saturday 27 November 1999,Everton,Aston Villa,Premier League,"Goodison Park, Liverpool",0,0
1999-2000,Saturday 27 November 1999,Middlesbrough,Wimbledon,Premier League,"Riverside Stadium, Middlesbrough",0,0
1999-2000,Saturday 27 November 1999,Watford,Sunderland,Premier League,"Vicarage Road, Watford",2,3
1999-2000,Saturday 27 November 1999,West Ham,Liverpool,Premier League,"Boleyn Ground, London",1,0
1999-2000,Monday 22 November 1999,Coventry,Aston Villa,Premier League,"Highfield Road, Coventry",2,1
1999-2000,Sunday 21 November 1999,West Ham,Sheffield Wed,Premier League,"Boleyn Ground, London",4,3
1999-2000,Saturday 20 November 1999,Arsenal,Middlesbrough,Premier League,"Highbury, London",5,1
1999-2000,Saturday 20 November 1999,Derby,Man Utd,Premier League,"Pride Park, Derby",1,2
1999-2000,Saturday 20 November 1999,Everton,Chelsea,Premier League,"Goodison Park, Liverpool",1,1
1999-2000,Saturday 20 November 1999,Leeds,Bradford,Premier League,"Elland Road, Leeds",2,1
1999-2000,Saturday 20 November 1999,Leicester,Wimbledon,Premier League,"Filbert Street, Leicester",2,1
1999-2000,Saturday 20 November 1999,Southampton,Spurs,Premier League,"The Dell, Southampton",0,1
1999-2000,Saturday 20 November 1999,Sunderland,Liverpool,Premier League,"Stadium of Light, Sunderland",0,2
1999-2000,Saturday 20 November 1999,Watford,Newcastle,Premier League,"Vicarage Road, Watford",1,1
1999-2000,Sunday 7 November 1999,Newcastle,Everton,Premier League,"St. James' Park, Newcastle",1,1
1999-2000,Sunday 7 November 1999,Chelsea,West Ham,Premier League,"Stamford Bridge, London",0,0
1999-2000,Sunday 7 November 1999,Spurs,Arsenal,Premier League,"White Hart Lane, London",2,1
1999-2000,Sunday 7 November 1999,Wimbledon,Leeds,Premier League,"Selhurst Park, London",2,0
1999-2000,Saturday 6 November 1999,Aston Villa,Southampton,Premier League,"Villa Park, Birmingham",0,1
1999-2000,Saturday 6 November 1999,Bradford,Coventry,Premier League,"Valley Parade, Bradford",1,1
1999-2000,Saturday 6 November 1999,Liverpool,Derby,Premier League,"Anfield, Liverpool",2,0
1999-2000,Saturday 6 November 1999,Man Utd,Leicester,Premier League,"Old Trafford, Manchester",2,0
1999-2000,Saturday 6 November 1999,Middlesbrough,Sunderland,Premier League,"Riverside Stadium, Middlesbrough",1,1
1999-2000,Saturday 6 November 1999,Sheffield Wed,Watford,Premier League,"Hillsborough, Sheffield",2,2
1999-2000,Monday 1 November 1999,Liverpool,Bradford,Premier League,"Anfield, Liverpool",3,1
1999-2000,Sunday 31 October 1999,Sunderland,Spurs,Premier League,"Stadium of Light, Sunderland",2,1
1999-2000,Sunday 31 October 1999,Coventry,Watford,Premier League,"Highfield Road, Coventry",4,0
1999-2000,Saturday 30 October 1999,Arsenal,Newcastle,Premier League,"Highbury, London",0,0
1999-2000,Saturday 30 October 1999,Derby,Chelsea,Premier League,"Pride Park, Derby",3,1
1999-2000,Saturday 30 October 1999,Leeds,West Ham,Premier League,"Elland Road, Leeds",1,0
1999-2000,Saturday 30 October 1999,Leicester,Sheffield Wed,Premier League,"Filbert Street, Leicester",3,0
1999-2000,Saturday 30 October 1999,Man Utd,Aston Villa,Premier League,"Old Trafford, Manchester",3,0
1999-2000,Saturday 30 October 1999,Middlesbrough,Everton,Premier League,"Riverside Stadium, Middlesbrough",2,1
1999-2000,Saturday 30 October 1999,Wimbledon,Southampton,Premier League,"Selhurst Park, London",1,1
1999-2000,Wednesday 27 October 1999,Liverpool,West Ham,Premier League,"Anfield, Liverpool",1,0
1999-2000,Monday 25 October 1999,Newcastle,Derby,Premier League,"St. James' Park, Newcastle",2,0
1999-2000,Sunday 24 October 1999,Everton,Leeds,Premier League,"Goodison Park, Liverpool",4,4
1999-2000,Sunday 24 October 1999,West Ham,Sunderland,Premier League,"Boleyn Ground, London",1,1
1999-2000,Sunday 24 October 1999,Watford,Middlesbrough,Premier League,"Vicarage Road, Watford",1,3
1999-2000,Saturday 23 October 1999,Aston Villa,Wimbledon,Premier League,"Villa Park, Birmingham",1,1
1999-2000,Saturday 23 October 1999,Bradford,Leicester,Premier League,"Valley Parade, Bradford",3,1
1999-2000,Saturday 23 October 1999,Chelsea,Arsenal,Premier League,"Stamford Bridge, London",2,3
1999-2000,Saturday 23 October 1999,Sheffield Wed,Coventry,Premier League,"Hillsborough, Sheffield",0,0
1999-2000,Saturday 23 October 1999,Southampton,Liverpool,Premier League,"The Dell, Southampton",1,1
1999-2000,Saturday 23 October 1999,Spurs,Man Utd,Premier League,"White Hart Lane, London",3,1
1999-2000,Monday 18 October 1999,Sunderland,Aston Villa,Premier League,"Stadium of Light, Sunderland",2,1
1999-2000,Sunday 17 October 1999,Middlesbrough,West Ham,Premier League,"Riverside Stadium, Middlesbrough",2,0
1999-2000,Saturday 16 October 1999,Arsenal,Everton,Premier League,"Highbury, London",4,1
1999-2000,Saturday 16 October 1999,Coventry,Newcastle,Premier League,"Highfield Road, Coventry",4,1
1999-2000,Saturday 16 October 1999,Derby,Spurs,Premier League,"Pride Park, Derby",0,1
1999-2000,Saturday 16 October 1999,Leeds,Sheffield Wed,Premier League,"Elland Road, Leeds",2,0
1999-2000,Saturday 16 October 1999,Leicester,Southampton,Premier League,"Filbert Street, Leicester",2,1
1999-2000,Saturday 16 October 1999,Liverpool,Chelsea,Premier League,"Anfield, Liverpool",1,0
1999-2000,Saturday 16 October 1999,Man Utd,Watford,Premier League,"Old Trafford, Manchester",4,1
1999-2000,Saturday 16 October 1999,Wimbledon,Bradford,Premier League,"Selhurst Park, London",3,2
1999-2000,Monday 4 October 1999,Southampton,Derby,Premier League,"The Dell, Southampton",3,3
1999-2000,Sunday 3 October 1999,Newcastle,Middlesbrough,Premier League,"St. James' Park, Newcastle",2,1
1999-2000,Sunday 3 October 1999,Watford,Leeds,Premier League,"Vicarage Road, Watford",1,2
1999-2000,Sunday 3 October 1999,Chelsea,Man Utd,Premier League,"Stamford Bridge, London",5,0
1999-2000,Sunday 3 October 1999,Spurs,Leicester,Premier League,"White Hart Lane, London",2,3
1999-2000,Sunday 3 October 1999,West Ham,Arsenal,Premier League,"Boleyn Ground, London",2,1
1999-2000,Saturday 2 October 1999,Aston Villa,Liverpool,Premier League,"Villa Park, Birmingham",0,0
1999-2000,Saturday 2 October 1999,Bradford,Sunderland,Premier League,"Valley Parade, Bradford",0,4
1999-2000,Saturday 2 October 1999,Everton,Coventry,Premier League,"Goodison Park, Liverpool",1,1
1999-2000,Saturday 2 October 1999,Sheffield Wed,Wimbledon,Premier League,"Hillsborough, Sheffield",5,1
1999-2000,Monday 27 September 1999,Liverpool,Everton,Premier League,"Anfield, Liverpool",0,1
1999-2000,Sunday 26 September 1999,Wimbledon,Spurs,Premier League,"Selhurst Park, London",1,1
1999-2000,Saturday 25 September 1999,Arsenal,Watford,Premier League,"Highbury, London",1,0
1999-2000,Saturday 25 September 1999,Coventry,West Ham,Premier League,"Highfield Road, Coventry",1,0
1999-2000,Saturday 25 September 1999,Derby,Bradford,Premier League,"Pride Park, Derby",0,1
1999-2000,Saturday 25 September 1999,Leeds,Newcastle,Premier League,"Elland Road, Leeds",3,2
1999-2000,Saturday 25 September 1999,Leicester,Aston Villa,Premier League,"Filbert Street, Leicester",3,1
1999-2000,Saturday 25 September 1999,Man Utd,Southampton,Premier League,"Old Trafford, Manchester",3,3
1999-2000,Saturday 25 September 1999,Middlesbrough,Chelsea,Premier League,"Riverside Stadium, Middlesbrough",0,1
1999-2000,Saturday 25 September 1999,Sunderland,Sheffield Wed,Premier League,"Stadium of Light, Sunderland",1,0
1999-2000,Sunday 19 September 1999,Everton,West Ham,Premier League,"Goodison Park, Liverpool",1,0
1999-2000,Sunday 19 September 1999,Newcastle,Sheffield Wed,Premier League,"St. James' Park, Newcastle",8,0
1999-2000,Sunday 19 September 1999,Spurs,Coventry,Premier League,"White Hart Lane, London",3,2
1999-2000,Sunday 19 September 1999,Leeds,Middlesbrough,Premier League,"Elland Road, Leeds",2,0
1999-2000,Saturday 18 September 1999,Aston Villa,Bradford,Premier League,"Villa Park, Birmingham",1,0
1999-2000,Saturday 18 September 1999,Derby,Sunderland,Premier League,"Pride Park, Derby",0,5
1999-2000,Saturday 18 September 1999,Leicester,Liverpool,Premier League,"Filbert Street, Leicester",2,2
1999-2000,Saturday 18 September 1999,Man Utd,Wimbledon,Premier League,"Old Trafford, Manchester",1,1
1999-2000,Saturday 18 September 1999,Southampton,Arsenal,Premier League,"The Dell, Southampton",0,1
1999-2000,Saturday 18 September 1999,Watford,Chelsea,Premier League,"Vicarage Road, Watford",1,0
1999-2000,Sunday 12 September 1999,Bradford,Spurs,Premier League,"Valley Parade, Bradford",1,1
1999-2000,Saturday 11 September 1999,Arsenal,Aston Villa,Premier League,"Highbury, London",3,1
1999-2000,Saturday 11 September 1999,Chelsea,Newcastle,Premier League,"Stamford Bridge, London",1,0
1999-2000,Saturday 11 September 1999,Coventry,Leeds,Premier League,"Highfield Road, Coventry",3,4
1999-2000,Saturday 11 September 1999,Middlesbrough,Southampton,Premier League,"Riverside Stadium, Middlesbrough",3,2
1999-2000,Saturday 11 September 1999,Sheffield Wed,Everton,Premier League,"Hillsborough, Sheffield",0,2
1999-2000,Saturday 11 September 1999,Liverpool,Man Utd,Premier League,"Anfield, Liverpool",2,3
1999-2000,Saturday 11 September 1999,Sunderland,Leicester,Premier League,"Stadium of Light, Sunderland",2,0
1999-2000,Saturday 11 September 1999,West Ham,Watford,Premier League,"Boleyn Ground, London",1,0
1999-2000,Saturday 11 September 1999,Wimbledon,Derby,Premier League,"Selhurst Park, London",2,2
1999-2000,Monday 30 August 1999,Man Utd,Newcastle,Premier League,"Old Trafford, Manchester",5,1
1999-2000,Monday 30 August 1999,Leicester,Watford,Premier League,"Filbert Street, Leicester",1,0
1999-2000,Sunday 29 August 1999,Sunderland,Coventry,Premier League,"Stadium of Light, Sunderland",1,1
1999-2000,Saturday 28 August 1999,Aston Villa,Middlesbrough,Premier League,"Villa Park, Birmingham",1,0
1999-2000,Saturday 28 August 1999,Bradford,West Ham,Premier League,"Valley Parade, Bradford",0,3
1999-2000,Saturday 28 August 1999,Derby,Everton,Premier League,"Pride Park, Derby",1,0
1999-2000,Saturday 28 August 1999,Liverpool,Arsenal,Premier League,"Anfield, Liverpool",2,0
1999-2000,Saturday 28 August 1999,Southampton,Sheffield Wed,Premier League,"The Dell, Southampton",2,0
1999-2000,Saturday 28 August 1999,Spurs,Leeds,Premier League,"White Hart Lane, London",1,2
1999-2000,Saturday 28 August 1999,Wimbledon,Chelsea,Premier League,"Selhurst Park, London",0,1
1999-2000,Wednesday 25 August 1999,Arsenal,Bradford,Premier League,"Highbury, London",2,0
1999-2000,Wednesday 25 August 1999,Coventry,Man Utd,Premier League,"Highfield Road, Coventry",1,2
1999-2000,Wednesday 25 August 1999,Newcastle,Sunderland,Premier League,"St. James' Park, Newcastle",1,2
